EventHandler	typedef	packages/plugin_kit/lib/src/event_bus.dart	69
ExponentialBackoffPlugin	class	example/plugin_kit_dialog_demo/lib/plugins/exponential_backoff_plugin.dart	5
ExtensionConfigField	class	packages/plugin_kit/lib/src/dialog/config_field.dart	192
Factory	typedef	packages/plugin_kit/lib/src/service_registry.dart	8
FactoryWrapper	class	packages/plugin_kit/lib/src/service_registry.dart	104
FeatureFlag	extension-type	packages/plugin_kit/lib/src/plugin/core.dart	47
FieldRenderResolver	typedef	packages/plugin_kit_dialog/lib/src/runtime/plugins/default_field_renderers_plugin.dart	19
FieldRenderersPlugin	class	packages/plugin_kit_dialog/lib/src/runtime/plugins/default_field_renderers_plugin.dart	36
FirebaseMcpPlugin	class	example/plugin_kit_dialog_demo/lib/plugins/firebase_mcp_plugin.dart	10
FlutterPluginKitChatScreen	class	example/state_garden/lib/src/integrations/flutter_plugin_kit_chat_screen.dart	25
FlutterPluginKitNotifierChatScreen	class	example/state_garden/lib/src/integrations/flutter_plugin_kit_notifier_chat.dart	22
FormatDocumentEvent	class	example/code_editor/lib/src/events.dart	31
FormatterPipelinePlugin	class	example/code_editor/lib/plugins/formatter_pipeline.dart	36
FormatterService	class	example/code_editor/lib/src/services.dart	9
GetActiveDocument	class	example/code_editor/lib/app/contributions.dart	106
GetItChatScreen	class	example/state_garden/lib/src/integrations/get_it_chat_screen.dart	26
GitMockFile	class	example/code_editor/lib/mocks.dart	61
GitPlugin	class	example/code_editor/lib/app/plugins/git_plugin.dart	181
GlobalContextFactory	typedef	packages/plugin_kit/lib/src/plugin/runtime.dart	9
GlobalPlugin	class	packages/plugin_kit/lib/src/plugin/core.dart	422
GlobalPluginContext	class	packages/plugin_kit/lib/src/types.dart	152
GlobalStatefulPluginService	typedef	packages/plugin_kit/lib/src/plugin/service.dart	258
GroupConfigField	class	packages/plugin_kit/lib/src/dialog/config_field.dart	173
GroupFieldInput	class	packages/plugin_kit_dialog/lib/src/widgets/services/fields/group_field_input.dart	7
IntegrationLauncher	class	example/state_garden/lib/src/integrations/integration_launcher.dart	25
IntegrationLauncherEntry	class	example/state_garden/lib/src/integrations/integration_launcher.dart	131
InternalPluginEventResponse	class	packages/plugin_kit/lib/src/event_bus.dart	52
JsonPreviewEditor	class	packages/plugin_kit_dialog/lib/src/widgets/advanced/json_preview_editor.dart	18
KagiSearchPlugin	class	example/plugin_kit_dialog_demo/lib/plugins/kagi_search_plugin.dart	8
LanguageService	class	example/code_editor/lib/src/services.dart	4
LazySingletonWrapper	class	packages/plugin_kit/lib/src/service_registry.dart	136
